paper_id,model_version,prompt_version,input_source,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp
58,llama3.1:8b,V1,abstract,AI,AI,0.83,,False,2026-08-09T18:57:36
59,llama3.1:8b,V1,abstract,ML,ML,0.87,,False,2026-08-09T18:57:37
60,llama3.1:8b,V1,abstract,DL,DL,1.02,,False,2026-08-09T18:57:38
61,llama3.1:8b,V1,abstract,AI,AI,0.76,,False,2026-08-09T18:57:39
62,llama3.1:8b,V1,abstract,ML,ML,1.37,,False,2026-08-09T18:57:40
63,llama3.1:8b,V1,abstract,ML,ML,1.5,,False,2026-08-09T18:57:42
64,llama3.1:8b,V1,abstract,,,2.13,,False,2026-08-09T18:57:44
65,llama3.1:8b,V1,abstract,,,1.88,,False,2026-08-09T18:57:46
66,llama3.1:8b,V1,abstract,ML,ML,1.34,,False,2026-08-09T18:57:47
67,llama3.1:8b,V1,abstract,AI,AI,0.96,,False,2026-08-09T18:57:48
68,llama3.1:8b,V1,abstract,ML,ML,0.8,,False,2026-08-09T18:57:49
69,llama3.1:8b,V1,abstract,DL,DL,0.84,,False,2026-08-09T18:57:50
70,llama3.1:8b,V1,abstract,AI,AI,0.9,,False,2026-08-09T18:57:51
71,llama3.1:8b,V1,abstract,AI,AI,0.81,,False,2026-08-09T18:57:52
72,llama3.1:8b,V1,abstract,AI,AI,0.9,,False,2026-08-09T18:57:53
73,llama3.1:8b,V1,abstract,AI,AI,1.01,,False,2026-08-09T18:57:54
74,llama3.1:8b,V1,abstract,DL,DL,0.86,,False,2026-08-09T18:57:54
75,llama3.1:8b,V1,abstract,ML,ML,0.85,,False,2026-08-09T18:57:55
76,llama3.1:8b,V1,abstract,ML,ML,0.96,,False,2026-08-09T18:57:56
77,llama3.1:8b,V1,abstract,AI,AI,0.71,,False,2026-08-09T18:57:57
78,llama3.1:8b,V1,abstract,ML,ML,0.77,,False,2026-08-09T18:57:58
79,llama3.1:8b,V1,abstract,AI,AI,1.25,,False,2026-08-09T18:57:59
80,llama3.1:8b,V1,abstract,DL,DL,1.17,,False,2026-08-09T18:58:00
81,llama3.1:8b,V1,abstract,ML,ML,1.27,,False,2026-08-09T18:58:01
82,llama3.1:8b,V1,abstract,ML,ML,0.79,,False,2026-08-09T18:58:02
83,llama3.1:8b,V1,abstract,AI,AI,0.77,,False,2026-08-09T18:58:03
84,llama3.1:8b,V1,abstract,ML,ML,0.95,,False,2026-08-09T18:58:04
85,llama3.1:8b,V1,abstract,ML,ML,0.82,,False,2026-08-09T18:58:05
86,llama3.1:8b,V1,abstract,AI,AI,0.64,,False,2026-08-09T18:58:05
87,llama3.1:8b,V1,abstract,ML,ML,0.96,,False,2026-08-09T18:58:06
88,llama3.1:8b,V1,abstract,DL,DL,0.94,,False,2026-08-09T18:58:07
89,llama3.1:8b,V1,abstract,ML,ML,0.98,,False,2026-08-09T18:58:08
90,llama3.1:8b,V1,abstract,AI,AI,0.9,,False,2026-08-09T18:58:09
91,llama3.1:8b,V1,abstract,DL,DL,1.01,,False,2026-08-09T18:58:10
92,llama3.1:8b,V1,abstract,ML,ML,0.87,,False,2026-08-09T18:58:11
93,llama3.1:8b,V1,abstract,AI,AI,1.09,,False,2026-08-09T18:58:12
94,llama3.1:8b,V1,abstract,AI,AI,1.27,,False,2026-08-09T18:58:13
95,llama3.1:8b,V1,abstract,AI,AI,1.24,,False,2026-08-09T18:58:15
96,llama3.1:8b,V1,abstract,ML,ML,1.26,,False,2026-08-09T18:58:16
97,llama3.1:8b,V1,abstract,AI,AI,0.96,,False,2026-08-09T18:58:17
98,llama3.1:8b,V1,abstract,AI,AI,0.86,,False,2026-08-09T18:58:18
99,llama3.1:8b,V1,abstract,,,0.92,,False,2026-08-09T18:58:19
100,llama3.1:8b,V1,abstract,AI,AI,0.92,,False,2026-08-09T18:58:20
101,llama3.1:8b,V1,abstract,,,0.98,,False,2026-08-09T18:58:21
102,llama3.1:8b,V1,abstract,AI,AI,1.17,,False,2026-08-09T18:58:22
103,llama3.1:8b,V1,abstract,AI,AI,1.04,,False,2026-08-09T18:58:23
104,llama3.1:8b,V1,abstract,ML,ML,0.91,,False,2026-08-09T18:58:24
105,llama3.1:8b,V1,abstract,,,0.86,,False,2026-08-09T18:58:25
106,llama3.1:8b,V1,abstract,DL,DL,0.9,,False,2026-08-09T18:58:26
107,llama3.1:8b,V1,abstract,AI,AI,0.83,,False,2026-08-09T18:58:26
108,llama3.1:8b,V1,abstract,AI,AI,1.24,,False,2026-08-09T18:58:28
109,llama3.1:8b,V1,abstract,DL,DL,1.46,,False,2026-08-09T18:58:29
110,llama3.1:8b,V1,abstract,AI,AI,1.28,,True,2026-08-09T18:58:30
111,llama3.1:8b,V1,abstract,AI,AI,1.12,,False,2026-08-09T18:58:31
112,llama3.1:8b,V1,abstract,DL,DL,13.82,,False,2026-08-09T18:58:45
113,llama3.1:8b,V1,abstract,DL,DL,0.92,,False,2026-08-09T18:58:46
114,llama3.1:8b,V1,abstract,ML,ML,1.01,,False,2026-08-09T18:58:47
115,llama3.1:8b,V1,abstract,,,0.69,,False,2026-08-09T18:58:48
116,llama3.1:8b,V1,abstract,ML,ML,0.84,,False,2026-08-09T18:58:49
117,llama3.1:8b,V1,abstract,ML,ML,0.83,,False,2026-08-09T18:58:50
118,llama3.1:8b,V1,abstract,ML,ML,0.86,,False,2026-08-09T18:58:50
119,llama3.1:8b,V1,abstract,DL,DL,0.98,,False,2026-08-09T18:58:51
120,llama3.1:8b,V1,abstract,ML,ML,0.92,,False,2026-08-09T18:58:52
121,llama3.1:8b,V1,abstract,ML,ML,0.87,,False,2026-08-09T18:58:53
122,llama3.1:8b,V1,abstract,ML,ML,1.04,,True,2026-08-09T18:58:54
123,llama3.1:8b,V1,abstract,AI,AI,1.01,,False,2026-08-09T18:58:55
124,llama3.1:8b,V1,abstract,DL,DL,1.12,,False,2026-08-09T18:58:56
125,llama3.1:8b,V1,abstract,DL,DL,1.6,,False,2026-08-09T18:58:58
126,llama3.1:8b,V1,abstract,DL,DL,1.09,,False,2026-08-09T18:58:59
127,llama3.1:8b,V1,abstract,ML,ML,1.12,,False,2026-08-09T18:59:00
128,llama3.1:8b,V1,abstract,AI,AI,0.87,,False,2026-08-09T18:59:01
129,llama3.1:8b,V1,abstract,ML,ML,0.91,,False,2026-08-09T18:59:02
130,llama3.1:8b,V1,abstract,,,0.78,,False,2026-08-09T18:59:03
131,llama3.1:8b,V1,abstract,AI,AI,0.74,,False,2026-08-09T18:59:04
132,llama3.1:8b,V1,abstract,ML,ML,0.96,,False,2026-08-09T18:59:04
133,llama3.1:8b,V1,abstract,AI,AI,0.96,,False,2026-08-09T18:59:05
134,llama3.1:8b,V1,abstract,AI,AI,0.81,,False,2026-08-09T18:59:06
135,llama3.1:8b,V1,abstract,ML,ML,0.86,,False,2026-08-09T18:59:07
136,llama3.1:8b,V1,abstract,,,0.88,,False,2026-08-09T18:59:08
137,llama3.1:8b,V1,abstract,ML,ML,0.9,,False,2026-08-09T18:59:09
138,llama3.1:8b,V1,abstract,ML,ML,1.31,,False,2026-08-09T18:59:10
139,llama3.1:8b,V1,missing,NO_INPUT,,0.0,no abstract available (no fallback columns in this sheet),False,2026-08-09T18:59:10
140,llama3.1:8b,V1,abstract,AI,AI,1.22,,False,2026-08-09T18:59:11
141,llama3.1:8b,V1,abstract,AI,AI,1.3,,False,2026-08-09T18:59:13
142,llama3.1:8b,V1,abstract,ML,ML,0.96,,False,2026-08-09T18:59:14
143,llama3.1:8b,V1,abstract,DL,DL,0.76,,False,2026-08-09T18:59:14
144,llama3.1:8b,V1,abstract,ML,ML,0.91,,False,2026-08-09T18:59:15
145,llama3.1:8b,V1,abstract,ML,ML,0.89,,False,2026-08-09T18:59:16
146,llama3.1:8b,V1,abstract,ML,ML,1.01,,False,2026-08-09T18:59:17
147,llama3.1:8b,V1,abstract,DL,DL,0.9,,False,2026-08-09T18:59:18
148,llama3.1:8b,V1,abstract,ML,ML,0.71,,False,2026-08-09T18:59:19
149,llama3.1:8b,V1,abstract,AI,AI,0.99,,False,2026-08-09T18:59:20
150,llama3.1:8b,V1,abstract,ML,ML,0.84,,False,2026-08-09T18:59:21
151,llama3.1:8b,V1,abstract,ML,ML,1.02,,False,2026-08-09T18:59:22
152,llama3.1:8b,V1,abstract,ML,ML,0.94,,False,2026-08-09T18:59:23
153,llama3.1:8b,V1,abstract,AI,AI,1.61,,False,2026-08-09T18:59:24
154,llama3.1:8b,V1,abstract,AI,AI,1.51,,False,2026-08-09T18:59:26
155,llama3.1:8b,V1,abstract,AI,AI,1.25,,False,2026-08-09T18:59:27
156,llama3.1:8b,V1,missing,NO_INPUT,,0.0,no abstract available (no fallback columns in this sheet),False,2026-08-09T18:59:27
157,llama3.1:8b,V1,abstract,AI,AI,0.87,,False,2026-08-09T18:59:28
158,llama3.1:8b,V1,abstract,ML,ML,0.98,,False,2026-08-09T18:59:29
159,llama3.1:8b,V1,abstract,AI,AI,0.83,,False,2026-08-09T18:59:30
160,llama3.1:8b,V1,abstract,DL,DL,0.87,,False,2026-08-09T18:59:31
161,llama3.1:8b,V1,abstract,ML,ML,0.77,,False,2026-08-09T18:59:31
162,llama3.1:8b,V1,abstract,AI,AI,0.9,,False,2026-08-09T18:59:32
163,llama3.1:8b,V1,abstract,ML,ML,0.83,,False,2026-08-09T18:59:33
164,llama3.1:8b,V1,abstract,DL,DL,0.76,,False,2026-08-09T18:59:34
165,llama3.1:8b,V1,abstract,ML,ML,0.82,,False,2026-08-09T18:59:35
166,llama3.1:8b,V1,abstract,ML,ML,1.1,,False,2026-08-09T18:59:36
167,llama3.1:8b,V1,abstract,AI,AI,0.83,,False,2026-08-09T18:59:37
168,llama3.1:8b,V1,abstract,ML,ML,1.15,,False,2026-08-09T18:59:38
169,llama3.1:8b,V1,abstract,,,1.24,,False,2026-08-09T18:59:39
170,llama3.1:8b,V1,abstract,DL,DL,1.25,,False,2026-08-09T18:59:40
171,llama3.1:8b,V1,abstract,AI,AI,1.2,,False,2026-08-09T18:59:42
172,llama3.1:8b,V1,abstract,ML,ML,0.9,,False,2026-08-09T18:59:42
173,llama3.1:8b,V1,abstract,AI,AI,0.92,,False,2026-08-09T18:59:43
174,llama3.1:8b,V1,abstract,ML,ML,1.43,,False,2026-08-09T18:59:45
175,llama3.1:8b,V1,abstract,ML,ML,0.76,,False,2026-08-09T18:59:46
176,llama3.1:8b,V1,abstract,AI,AI,0.81,,False,2026-08-09T18:59:46
177,llama3.1:8b,V1,abstract,ML,ML,1.02,,False,2026-08-09T18:59:47
178,llama3.1:8b,V1,abstract,ML,ML,0.89,,False,2026-08-09T18:59:48
179,llama3.1:8b,V1,abstract,ML,ML,0.85,,False,2026-08-09T18:59:49
180,llama3.1:8b,V1,abstract,ML,ML,1.0,,False,2026-08-09T18:59:50
181,llama3.1:8b,V1,abstract,DL,DL,0.91,,False,2026-08-09T18:59:51
182,llama3.1:8b,V1,abstract,ML,ML,1.15,,False,2026-08-09T18:59:52
183,llama3.1:8b,V1,abstract,ML,ML,1.05,,False,2026-08-09T18:59:53
184,llama3.1:8b,V1,abstract,DL,DL,1.08,,False,2026-08-09T18:59:54
185,llama3.1:8b,V1,abstract,,,1.35,,False,2026-08-09T18:59:56
186,llama3.1:8b,V1,abstract,AI,AI,0.93,,False,2026-08-09T18:59:57
187,llama3.1:8b,V1,abstract,ML,ML,1.11,,False,2026-08-09T18:59:58
188,llama3.1:8b,V1,abstract,AI,AI,0.84,,False,2026-08-09T18:59:59
189,llama3.1:8b,V1,abstract,ML,ML,0.96,,False,2026-08-09T19:00:00
190,llama3.1:8b,V1,abstract,ML,ML,0.91,,False,2026-08-09T19:00:00
191,llama3.1:8b,V1,abstract,DL,DL,1.17,,False,2026-08-09T19:00:02
192,llama3.1:8b,V1,abstract,AI,AI,0.78,,False,2026-08-09T19:00:02
193,llama3.1:8b,V1,abstract,AI,AI,0.82,,False,2026-08-09T19:00:03
194,llama3.1:8b,V1,abstract,DL,DL,0.87,,False,2026-08-09T19:00:04
195,llama3.1:8b,V1,abstract,AI,AI,0.95,,False,2026-08-09T19:00:05
196,llama3.1:8b,V1,abstract,ML,ML,1.23,,False,2026-08-09T19:00:06
197,llama3.1:8b,V1,abstract,ML,ML,1.44,,False,2026-08-09T19:00:08
198,llama3.1:8b,V1,abstract,,,1.41,,False,2026-08-09T19:00:09
199,llama3.1:8b,V1,abstract,AI,AI,0.99,,False,2026-08-09T19:00:10
200,llama3.1:8b,V1,abstract,AI,AI,0.84,,False,2026-08-09T19:00:11
201,llama3.1:8b,V1,missing,NO_INPUT,,0.0,no abstract available (no fallback columns in this sheet),False,2026-08-09T19:00:11
202,llama3.1:8b,V1,abstract,ML,ML,0.81,,False,2026-08-09T19:00:12
203,llama3.1:8b,V1,abstract,ML,ML,0.93,,False,2026-08-09T19:00:13
204,llama3.1:8b,V1,abstract,AI,AI,1.12,,False,2026-08-09T19:00:14
205,llama3.1:8b,V1,abstract,ML,ML,0.76,,False,2026-08-09T19:00:15
206,llama3.1:8b,V1,abstract,DL,DL,0.8,,False,2026-08-09T19:00:15
207,llama3.1:8b,V1,abstract,AI,AI,0.96,,False,2026-08-09T19:00:16
208,llama3.1:8b,V1,abstract,ML,ML,0.85,,False,2026-08-09T19:00:17
209,llama3.1:8b,V1,abstract,ML,ML,0.98,,False,2026-08-09T19:00:18
210,llama3.1:8b,V1,abstract,ML,ML,1.03,,False,2026-08-09T19:00:19
211,llama3.1:8b,V1,abstract,DL,DL,0.9,,False,2026-08-09T19:00:20
212,llama3.1:8b,V1,abstract,ML,ML,1.36,,False,2026-08-09T19:00:21
213,llama3.1:8b,V1,abstract,ML,ML,1.04,,False,2026-08-09T19:00:23
214,llama3.1:8b,V1,abstract,AI,AI,1.5,,False,2026-08-09T19:00:24
215,llama3.1:8b,V1,abstract,AI,AI,0.82,,False,2026-08-09T19:00:25
216,llama3.1:8b,V1,abstract,ML,ML,0.81,,False,2026-08-09T19:00:26
217,llama3.1:8b,V1,abstract,ML,ML,0.99,,False,2026-08-09T19:00:27
218,llama3.1:8b,V1,abstract,AI,AI,0.89,,False,2026-08-09T19:00:28
219,llama3.1:8b,V1,abstract,AI,AI,0.88,,False,2026-08-09T19:00:28
220,llama3.1:8b,V1,abstract,ML,ML,0.92,,False,2026-08-09T19:00:29
221,llama3.1:8b,V1,abstract,AI,AI,0.83,,False,2026-08-09T19:00:30
222,llama3.1:8b,V1,abstract,ML,ML,0.98,,False,2026-08-09T19:00:31
223,llama3.1:8b,V1,abstract,AI,AI,1.05,,False,2026-08-09T19:00:32
224,llama3.1:8b,V1,abstract,AI,AI,0.86,,False,2026-08-09T19:00:33
225,llama3.1:8b,V1,abstract,ML,ML,0.76,,False,2026-08-09T19:00:34
226,llama3.1:8b,V1,abstract,ML,ML,1.16,,False,2026-08-09T19:00:35
227,llama3.1:8b,V1,abstract,AI,AI,1.3,,False,2026-08-09T19:00:36
228,llama3.1:8b,V1,abstract,AI,AI,1.31,,False,2026-08-09T19:00:38
229,llama3.1:8b,V1,abstract,ML,ML,1.28,,False,2026-08-09T19:00:39
230,llama3.1:8b,V1,abstract,ML,ML,1.07,,False,2026-08-09T19:00:40
231,llama3.1:8b,V1,abstract,AI,AI,0.82,,False,2026-08-09T19:00:41
232,llama3.1:8b,V1,abstract,ML,ML,0.73,,False,2026-08-09T19:00:42
233,llama3.1:8b,V1,abstract,AI,AI,0.84,,False,2026-08-09T19:00:42
234,llama3.1:8b,V1,abstract,ML,ML,0.79,,False,2026-08-09T19:00:43
235,llama3.1:8b,V1,abstract,ML,ML,0.88,,False,2026-08-09T19:00:44
236,llama3.1:8b,V1,abstract,DL,DL,0.8,,False,2026-08-09T19:00:45
237,llama3.1:8b,V1,abstract,ML,ML,0.84,,False,2026-08-09T19:00:46
238,llama3.1:8b,V1,abstract,AI,AI,0.74,,False,2026-08-09T19:00:46
239,llama3.1:8b,V1,abstract,ML,ML,0.85,,False,2026-08-09T19:00:47
240,llama3.1:8b,V1,abstract,DL,DL,1.14,,False,2026-08-09T19:00:48
241,llama3.1:8b,V1,abstract,ML,ML,1.21,,False,2026-08-09T19:00:50
242,llama3.1:8b,V1,abstract,AI,AI,1.15,,False,2026-08-09T19:00:51
243,llama3.1:8b,V1,abstract,ML,ML,1.51,,False,2026-08-09T19:00:52
244,llama3.1:8b,V1,abstract,,,1.18,,False,2026-08-09T19:00:53
245,llama3.1:8b,V1,abstract,ML,ML,0.8,,False,2026-08-09T19:00:54
246,llama3.1:8b,V1,abstract,ML,ML,0.94,,False,2026-08-09T19:00:55
247,llama3.1:8b,V1,abstract,AI,AI,0.82,,False,2026-08-09T19:00:56
248,llama3.1:8b,V1,abstract,ML,ML,0.7,,False,2026-08-09T19:00:57
249,llama3.1:8b,V1,abstract,AI,AI,0.94,,False,2026-08-09T19:00:58
250,llama3.1:8b,V1,abstract,ML,ML,1.06,,False,2026-08-09T19:00:59
251,llama3.1:8b,V1,abstract,AI,AI,0.8,,False,2026-08-09T19:01:00
252,llama3.1:8b,V1,abstract,ML,ML,0.87,,False,2026-08-09T19:01:00
253,llama3.1:8b,V1,abstract,ML,ML,0.77,,False,2026-08-09T19:01:01
254,llama3.1:8b,V1,abstract,ML,ML,1.06,,False,2026-08-09T19:01:02
255,llama3.1:8b,V1,abstract,ML,ML,1.17,,False,2026-08-09T19:01:03
256,llama3.1:8b,V1,abstract,AI,AI,1.23,,False,2026-08-09T19:01:05
257,llama3.1:8b,V1,abstract,ML,ML,1.31,,False,2026-08-09T19:01:06
258,llama3.1:8b,V1,abstract,AI,AI,1.26,,False,2026-08-09T19:01:07
259,llama3.1:8b,V1,abstract,,,0.8,,False,2026-08-09T19:01:08
260,llama3.1:8b,V1,abstract,ML,ML,0.84,,False,2026-08-09T19:01:09
261,llama3.1:8b,V1,abstract,AI,AI,1.08,,False,2026-08-09T19:01:10
262,llama3.1:8b,V1,abstract,ML,ML,0.94,,False,2026-08-09T19:01:11
263,llama3.1:8b,V1,abstract,ML,ML,0.59,,False,2026-08-09T19:01:11
264,llama3.1:8b,V1,abstract,ML,ML,0.9,,False,2026-08-09T19:01:12
265,llama3.1:8b,V1,abstract,ML,ML,0.78,,False,2026-08-09T19:01:13
266,llama3.1:8b,V1,abstract,ML,ML,0.9,,False,2026-08-09T19:01:14
267,llama3.1:8b,V1,abstract,AI,AI,0.87,,False,2026-08-09T19:01:15
268,llama3.1:8b,V1,abstract,ML,ML,0.98,,False,2026-08-09T19:01:16
269,llama3.1:8b,V1,abstract,AI,AI,0.92,,False,2026-08-09T19:01:17
270,llama3.1:8b,V1,abstract,ML,ML,1.47,,False,2026-08-09T19:01:18
271,llama3.1:8b,V1,abstract,DL,DL,1.26,,False,2026-08-09T19:01:20
272,llama3.1:8b,V1,abstract,ML,ML,1.19,,False,2026-08-09T19:01:21
273,llama3.1:8b,V1,abstract,AI,AI,0.94,,False,2026-08-09T19:01:22
274,llama3.1:8b,V1,abstract,ML,ML,0.89,,False,2026-08-09T19:01:23
275,llama3.1:8b,V1,abstract,ML,ML,1.06,,False,2026-08-09T19:01:24
276,llama3.1:8b,V1,abstract,,,0.88,,False,2026-08-09T19:01:25
277,llama3.1:8b,V1,abstract,ML,ML,0.78,,False,2026-08-09T19:01:25
278,llama3.1:8b,V1,abstract,AI,AI,0.85,,False,2026-08-09T19:01:26
279,llama3.1:8b,V1,abstract,AI,AI,0.85,,False,2026-08-09T19:01:27
280,llama3.1:8b,V1,abstract,DL,DL,0.77,,False,2026-08-09T19:01:28
281,llama3.1:8b,V1,abstract,AI,AI,0.97,,False,2026-08-09T19:01:29
282,llama3.1:8b,V1,abstract,,,0.87,,False,2026-08-09T19:01:30
283,llama3.1:8b,V1,abstract,AI,AI,0.76,,False,2026-08-09T19:01:30
284,llama3.1:8b,V1,abstract,ML,ML,0.84,,False,2026-08-09T19:01:31
285,llama3.1:8b,V1,abstract,AI,AI,1.16,,False,2026-08-09T19:01:32
286,llama3.1:8b,V1,abstract,ML,ML,1.41,,False,2026-08-09T19:01:34
287,llama3.1:8b,V1,abstract,ML,ML,1.47,,False,2026-08-09T19:01:35
288,llama3.1:8b,V1,abstract,AI,AI,0.75,,False,2026-08-09T19:01:36
289,llama3.1:8b,V1,abstract,ML,ML,0.68,,False,2026-08-09T19:01:37
290,llama3.1:8b,V1,abstract,ML,ML,0.78,,False,2026-08-09T19:01:37
291,llama3.1:8b,V1,abstract,ML,ML,0.76,,False,2026-08-09T19:01:38
292,llama3.1:8b,V1,abstract,ML,ML,0.71,,False,2026-08-09T19:01:39
293,llama3.1:8b,V1,abstract,DL,DL,0.69,,False,2026-08-09T19:01:40
294,llama3.1:8b,V1,abstract,ML,ML,0.75,,False,2026-08-09T19:01:40
295,llama3.1:8b,V1,abstract,,,0.97,,False,2026-08-09T19:01:41
296,llama3.1:8b,V1,abstract,AI,AI,0.77,,False,2026-08-09T19:01:42
297,llama3.1:8b,V1,abstract,ML,ML,0.72,,False,2026-08-09T19:01:43
298,llama3.1:8b,V1,abstract,AI,AI,0.7,,False,2026-08-09T19:01:44
299,llama3.1:8b,V1,abstract,,,0.7,,False,2026-08-09T19:01:44
0,llama3.1:8b,V2.1,abstract,DL,"REASONING: The abstract describes empirical scaling laws for language model performance, specifically focusing on the cross-entropy loss as a function of model size, dataset size, and computational resources. The primary contribution is the derivation of simple equations governing these relationships, which enables optimal allocation of compute budgets.

CATEGORY: DL",3.16,,False,2026-08-09T19:01:47
1,llama3.1:8b,V2.1,abstract,DL,"REASONING: The abstract describes a comparative study between classical and quantum neural networks on both classical and quantum data, highlighting their differences in response to data corruption and introducing a framework for quantum machine unlearning. The primary contribution of the paper is the comparison of these two types of models and the introduction of this new framework. The technical methods described include classical and quantum neural networks, as well as approximate unlearning methods.

CATEGORY: DL",4.15,,False,2026-08-09T19:01:52
2,llama3.1:8b,V2.1,abstract,DL,"REASONING: The abstract describes the training of a large, deep convolutional neural network (CNN) for image classification on the ImageNet dataset. The primary contribution of the paper is the development and application of this specific neural network architecture.

CATEGORY: DL",2.52,,False,2026-08-09T19:01:54
3,llama3.1:8b,V2.1,abstract,ML,"REASONING: The abstract describes a comparative study evaluating the performance of four AI chatbots in addressing patient and physician-oriented questions on adrenal incidentalomas. The primary contribution of the paper is the comparison of these chatbots' performance using various metrics, including accuracy, quality, hallucination tendency, and readability.

CATEGORY: ML",3.24,,False,2026-08-09T19:01:57
