paper_id,model_version,prompt_version,input_source,manual_label,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp,repair_status
10,gemma-4-26b-a4b-it,V1,abstract,Unclear,ML,"*   Goal: Classify the abstract into one of five categories: AI, ML, DL, Unclear, or None.
    *   Categories:
        *   AI: General AI, symbolic reasoning, expert systems, non-ML/DL specific.
        *   ML: Classical ML (supervised/unsupervised, trees, SVMs, clustering, feature engineering).
        *   DL: Neural networks (CNN, RNN, transformers, DRL).
        *   Unclear: Mix of categories making it impossible to pick one primary.
        *   None: Not about AI/ML/DL.
    *   Constraint: Respond with *only* the category name.

    *   ""Several forecasting algorithms from the artificial intelligence area like the Neural Networks or from the machine learning field as K-Nearest Neighbors and XGBoost are recommended...""
    *   ""The method in this paper targets the prediction of consumptions... with the support of K-Nearest Neighbors and Neural Networks""
    *   ""a decision tree identifies unique contexts...""
    *   ""a Multiarmed Bandit algorithm gifted with reinforcement learning capabilities selects the algorithm more convenient...""
    *   Results mention SMAPE errors for KNN and ANN.

    *   The paper uses:
        *   K-Nearest Neighbors (ML)
        *   Neural Networks (DL)
        *   Decision Tree (ML)
        *   Multiarmed Bandit/Reinforcement Learning (AI/ML/DL depending on context, but often categorized under AI or RL/DL)
    *   The core contribution seems to be a framework/method that *combines* these different approaches (context identification via decision trees + algorithm selection via Multiarmed Bandit + prediction via KNN/NN).

    *   AI: General AI/Symbolic. (The paper uses specific ML/DL models).
    *   ML: Classical ML. (KNN and",10.75,,False,2026-08-09T09:16:23,
11,gemma-4-26b-a4b-it,V1,abstract,DL,ML,"*   Goal: Classify the abstract into one of five categories: AI, ML, DL, Unclear, or None.
    *   Categories:
        *   AI: General AI, symbolic reasoning, expert systems.
        *   ML: Classical ML (supervised/unsupervised, trees, SVM, clustering, feature engineering).
        *   DL: Neural networks (CNN, RNN, transformers, DRL).
        *   Unclear: Mix of categories making it impossible to pick one primary.
        *   None: Not about AI/ML/DL.
    *   Constraint: Respond with *only* the category name.

    *   *Background:* HGSOC, chemotherapy resistance.
    *   *Methods:*
        *   Used Whole-slide images (WSIs).
        *   Used a **convolutional neural network (CNN)** to classify cancer vs normal and predict drug response.
        *   Used **Lasso, AdaBoost, Naive Bayes, XGBoost, and Random Forest** for clinical variables/feature selection.
    *   *Results:*
        *   CNN achieved high AUC for tumor-normal discrimination.
        *   ML models (Lasso, etc.) used for histologic features.
    *   *Conclusion:*
        *   ""A **deep-learning pipeline** based on pathology images accurately separates tumor from normal tissue...""
        *   ""Histopathological features derived from Lasso regression...""
        *   ""This supports the feasibility of applying image-based artificial intelligence technologies...""

    *   The paper uses both DL (CNN) and ML (Lasso, XGBoost, etc.).
    *   The CNN is used for the image processing part (segmenting/classifying WSIs).
    *   The ML models are used for clinical data and feature selection.
    *   The conclusion highlights the ""deep-learning pipeline""",75.55,,False,2026-08-09T09:17:40,
12,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Goal: Classify the abstract by its *primary technical contribution*.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   *Background/Aim:* Discusses intraoperative hypotension and the promise of ""machine learning algorithms"" for prediction.
    *   *Method:* A meta-analysis evaluating the clinical performance of ""machine learning algorithms"" for predicting hypotension. It mentions searching for ""AI-guided intraoperative management"" and ""observational accuracy studies.""
    *   *Results:* Evaluates five observational studies using ""machine learning algorithms"" for ECG, systolic, and diastolic blood pressure. Mentions sensitivity, specificity, and AUROC.
    *   *Conclusion:* ""Machine learning algorithms demonstrate acceptable performance...""

    *   The paper is a *meta-analysis* of existing studies.
    *   The subject matter is the performance of ""machine learning algorithms.""
    *   Does it introduce a new AI/ML/DL architecture? No.
    *   Does it focus on a specific ML technique (e.g., SVM, Random Forest)? It mentions ""machine learning algorithms"" generally, but doesn't specify a single one as the *contribution*.
    *   However, the *primary technical contribution* of the paper itself is a meta-analysis of machine learning applications in a clinical setting.
    *   Looking at the categories:
        *   AI: General AI approaches, symbolic reasoning, etc.
        *   ML: Classical machine learning (supervised/unsupervised, etc.).
        *   DL: Neural networks.
        *   Unclear: Mix of categories or insufficient info.
        *   None: Not about AI/ML/DL.

    *   The paper is *about* the performance of ML algorithms.
    *   Is the *contribution",8.92,,False,2026-08-09T09:17:50,
13,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Goal: Classify the abstract into one of five categories: AI, ML, DL, Unclear, or None.
    *   Categories:
        *   AI: Symbolic reasoning, expert systems, general AI.
        *   ML: Classical machine learning (supervised/unsupervised, trees, SVMs, clustering, feature engineering).
        *   DL: Neural networks (CNNs, RNNs, transformers, DRL).
        *   Unclear: Mix of categories or insufficient info.
        *   None: Not about AI/ML/DL.
    *   Constraint: Respond with *only* the category name.

    *   ""We describe the problem of 'selective inference.' This addresses the following challenge: Having mined a set of data to find potential associations, how do we properly assess the strength of these associations?""
    *   ""The fact that we have 'cherry-picked'—searched for the strongest associations—means that we must set a higher bar for declaring significant the associations that we see.""
    *   ""This challenge becomes more important in the era of big data and complex statistical modeling.""
    *   ""The cherry tree (dataset) can be very large and the tools for cherry picking (statistical learning methods) are now very sophisticated.""
    *   ""We describe some recent new developments in selective inference and illustrate their use in forward stepwise regression, the lasso, and principal components analysis.""

    *   The paper focuses on ""selective inference"" and statistical significance in the context of data mining.
    *   It mentions ""statistical learning methods,"" ""forward stepwise regression,"" ""the lasso,"" and ""principal components analysis.""
    *   ""Lasso"" and ""Principal Components Analysis (PCA)"" are core classical machine learning techniques (regularization and dimensionality reduction).
    *   ""Forward stepwise regression"" is a classical statistical/ML method.
    *",9.02,,False,2026-08-09T09:18:00,
14,gemma-4-26b-a4b-it,V1,abstract,Unclear,Unclear,"*   Task: Classify academic paper abstracts by primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   ""Artificial Intelligence (AI) is increasingly pivotal in sustainable green finance...""
    *   ""This review synthesizes recent literature on how machine learning, deep learning, and natural language processing enhance credit-risk modeling, portfolio optimization, and ESG evaluation.""
    *   ""Key developments include default prediction using novel variables... deep learning for market forecasting... natural language processing to detect greenwashing...""
    *   ""AI tools also enable personalized green investment strategies...""
    *   ""We conclude with a focused interdisciplinary research agenda for responsible AI in green finance.""

    *   The paper is a *review* of literature.
    *   It covers AI, ML, and DL.
    *   It discusses applications in green finance (risk analytics, ESG, etc.).
    *   The primary contribution is a synthesis of how various AI techniques (ML, DL, NLP) are used in a specific domain (green finance).

    *   *AI*: General AI approaches, symbolic reasoning, expert systems, or work not specific to ML/DL.
    *   *ML*: Classical machine learning.
    *   *DL*: Neural network architectures.
    *   *Unclear*: Mix of multiple categories, unable to assign individual categories.
    *   *None*: Not about AI/ML/DL.

    *   The abstract explicitly mentions ""machine learning, deep learning, and natural language processing"".
    *   It covers a broad spectrum of techniques (ML, DL, NLP).
    *   The prompt defines ""Unclear"" as: ""the abstract does not provide enough information to assign a category individually. Like there is a mix of multiple categories in the",65.73,,False,2026-08-09T09:19:07,
15,gemma-4-26b-a4b-it,V1,abstract,Unclear,DL,"*   Goal: Classify the abstract by its primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   *Background:* Oral cancer diagnosis using AI on intraoral photographs.
    *   *Methods:* Cross-sectional analysis of 518 images. Used three pretrained **deep learning models**: **DenseNet-121**, **EfficientNet-B0**, and **ResNet-50**.
    *   *Results:* DenseNet-121 performed best (91% accuracy, etc.).
    *   *Conclusion:* AI-based analysis can improve detection.

    *   The core methodology involves using specific neural network architectures (DenseNet, EfficientNet, ResNet).
    *   These are explicitly categorized under ""DL"" (neural network architectures — CNNs, RNNs, transformers, deep reinforcement learning) in the provided definitions.

    *   AI: General/Symbolic/Expert systems. (The paper uses DL, which is a subset, but the specific contribution is the application of DL models).
    *   ML: Classical ML (SVMs, trees, etc.). (Not the primary method here).
    *   DL: Neural network architectures (CNNs, etc.). (Matches perfectly: DenseNet, EfficientNet, and ResNet are CNNs).
    *   Unclear: Mix of categories. (While it mentions AI, the specific technical contribution is the use of DL models).
    *   None: Not about AI/ML/DL. (Incorrect).

The primary technical contribution is the application/evaluation of deep learning models (CNNs).

DL.
DL",8.46,,False,2026-08-09T09:19:16,
16,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Goal: Classify the abstract by its primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   *Background:* Mentions machine learning as an AI domain.
    *   *Objective:* Use a machine learning model to predict contraceptive continuation. Use SHAP for feature importance.
    *   *Methods:* ""We employed LightGBM, a gradient-boosting framework that employs tree-based learning algorithms..."" Mentions hyperparameter tuning with Optuna.
    *   *Results:* Accuracy 74%, AUC 82%. Lists influential features.
    *   *Conclusion:* Machine learning is a valuable tool for this prediction.

    *   *AI:* General AI, symbolic reasoning, expert systems. (The paper uses ML, which is a subset, but the specific method is ML).
    *   *ML:* Classical machine learning — supervised/unsupervised learning, tree-based methods, SVMs, clustering, feature engineering. (The paper specifically uses LightGBM, which is a tree-based gradient boosting framework).
    *   *DL:* Neural network architectures (CNNs, RNNs, transformers, etc.). (LightGBM is not a deep neural network).
    *   *Unclear:* Mix of categories/insufficient info. (The contribution is clearly focused on a specific ML method).
    *   *None:* Not about AI/ML/DL. (This is clearly about ML).

    *   The core method used is LightGBM.
    *   LightGBM is a tree-based gradient boosting framework.
    *   The category ""ML"" explicitly includes ""tree-based methods"".

ML.
ML",8.54,,False,2026-08-09T09:19:26,
17,gemma-4-26b-a4b-it,V1,abstract,Unclear,ML,"*   Goal: Classify the abstract by its *primary* technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   *Background:* Discusses LC-MS/MS, biological matrices, and pharmaceutical formulations. Mentions AI and ML as opportunities for mitigation/optimization.
    *   *Objective:* Critically evaluate the role of AI-integrated bioanalytical workflows.
    *   *Methods:* A comprehensive review of literature. Mentions specific techniques: artificial neural networks (DL), support vector machines (ML), random forests (ML), convolutional neural networks (DL), and deep learning models (DL).
    *   *Results:* AI-assisted systems improve prediction, signal interpretation, etc. Machine learning approaches enhance peak integration, etc.
    *   *Conclusion:* AI-integrated platforms offer solutions.

    *   The paper is a *review* of how AI/ML/DL are applied in a specific field (bioanalysis/LC-MS/MS).
    *   It mentions:
        *   ML: Support vector machines, random forests.
        *   DL: Artificial neural networks, CNNs, deep learning models.
        *   AI: General term used throughout.
    *   The prompt asks for the *primary technical contribution*.
    *   Is the contribution a new ML algorithm? No.
    *   Is the contribution a new DL architecture? No.
    *   Is the contribution a general AI approach? No.
    *   The paper is a *review* of the application of these technologies in a specific domain.
    *   However, looking at the categories:
        *   AI: general artificial intelligence approaches, symbolic reasoning, expert systems, or work not specific to ML/DL techniques.
        *   ML: classical",8.99,,False,2026-08-09T09:19:36,
18,gemma-4-26b-a4b-it,V1,abstract,Unclear,DL,"*   Task: Classify academic paper abstracts by primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   Topic: Multi-omics data integration for cancer diagnosis/prognosis.
    *   Key technical mentions:
        *   ""artificial intelligence (AI), particularly deep learning and machine learning""
        *   ""graph neural networks"" (DL)
        *   ""transformers"" (DL)
        *   ""explainable AI (XAI)"" (AI/ML)
        *   ""federated learning"" (ML/DL)
        *   ""machine learning"" (ML)
        *   ""deep learning"" (DL)
    *   Nature of the text: It's a review paper (""This review synthesizes how..."").
    *   Primary contribution: The paper reviews how AI, ML, and DL are used to integrate multi-omics data.

    *   *AI*: General approaches, symbolic reasoning, expert systems, or work not specific to ML/DL.
    *   *ML*: Classical machine learning (supervised/unsupervised, trees, SVMs, etc.).
    *   *DL*: Neural network architectures (CNNs, RNNs, transformers, GNNs, etc.).
    *   *Unclear*: Mix of multiple categories, unable to assign individual categories.
    *   *None*: Not about AI/ML/DL.

    *   The abstract mentions ""AI, particularly deep learning and machine learning"".
    *   It specifically highlights ""graph neural networks"" and ""transformers"".
    *   It discusses ""federated learning"".
    *   The abstract covers a broad spectrum: AI (general), ML (classical/federated), and DL (GNNs, transformers).",8.84,,False,2026-08-09T09:19:45,
19,gemma-4-26b-a4b-it,V1,abstract,AI,DL,"*   Goal: Classify the abstract into one of five categories: AI, ML, DL, Unclear, or None.
    *   Categories:
        *   AI: General AI, symbolic reasoning, expert systems, or non-ML/DL AI.
        *   ML: Classical ML (supervised/unsupervised, trees, SVMs, clustering, feature engineering).
        *   DL: Neural networks (CNNs, RNNs, transformers, DRL).
        *   Unclear: Mix of categories making it impossible to pick one primary.
        *   None: Not about AI/ML/DL.
    *   Constraint: Respond with *only* the category name.

    *   ""Nanomedicine's merging with artificial intelligence (AI) is fundamentally changing cancer theranostics...""
    *   ""In this analysis, we examine the existing state and forthcoming developments of AI applications in cancer theranostics through nanoparticles.""
    *   ""AI is being applied to nanoparticle development through machine learning, deep learning, reinforcement learning, and generative models...""
    *   ""We analyze clinical applications of AI solutions...""
    *   ""The paper evaluates major difficulties which are nanotoxicity, AI explainability...""
    *   ""Rather than a broad overview of nanomedicine, we center on AI methods that directly improve theranostic decisions...""

    *   The paper is a review/analysis of how AI is used in nanomedicine.
    *   It mentions ML, DL, Reinforcement Learning, and Generative Models.
    *   The primary contribution is an analysis of *AI applications* in a specific field (nanomedicine).
    *   Does it focus on a specific *new* ML algorithm? No, it's an analysis of existing applications.
    *   Does it focus on a specific *new* DL architecture? No.
    *",9.02,,False,2026-08-09T09:19:55,
