paper_id,model_version,prompt_version,input_source,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp
51,mistral:7b,V1,abstract,ML,ML,12.88,,False,2026-08-09T10:47:02
52,mistral:7b,V1,abstract,ML,ML,0.73,,False,2026-08-09T10:47:03
53,mistral:7b,V1,abstract,DL,DL,0.58,,False,2026-08-09T10:47:04
54,mistral:7b,V1,abstract,DL,DL,0.5,,False,2026-08-09T10:47:04
55,mistral:7b,V1,abstract,ML,ML,0.58,,False,2026-08-09T10:47:05
56,mistral:7b,V1,abstract,ML,ML,0.56,,False,2026-08-09T10:47:05
57,mistral:7b,V1,abstract,ML,ML,0.59,,False,2026-08-09T10:47:06
58,mistral:7b,V1,abstract,ML,ML,0.55,,False,2026-08-09T10:47:07
59,mistral:7b,V1,abstract,ML,ML,0.65,,False,2026-08-09T10:47:07
60,mistral:7b,V1,abstract,DL,DL,0.77,,False,2026-08-09T10:47:08
61,mistral:7b,V1,abstract,ML,ML,0.52,,False,2026-08-09T10:47:08
62,mistral:7b,V1,abstract,ML,ML,0.57,,False,2026-08-09T10:47:09
63,mistral:7b,V1,abstract,ML,ML,0.48,,False,2026-08-09T10:47:10
64,mistral:7b,V1,abstract,ML,ML,0.5,,False,2026-08-09T10:47:10
65,mistral:7b,V1,abstract,ML,ML,0.4,,False,2026-08-09T10:47:10
66,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:47:11
67,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:47:12
68,mistral:7b,V1,abstract,ML,ML,0.4,,False,2026-08-09T10:47:12
69,mistral:7b,V1,abstract,DL,DL,0.51,,False,2026-08-09T10:47:13
70,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:47:13
71,mistral:7b,V1,abstract,ML,ML,0.46,,False,2026-08-09T10:47:14
72,mistral:7b,V1,abstract,ML,ML,0.57,,False,2026-08-09T10:47:14
73,mistral:7b,V1,abstract,DL,DL (Quantum Machine Learning is a subfield of Deep Learning),1.03,,False,2026-08-09T10:47:15
74,mistral:7b,V1,abstract,DL,DL,0.55,,False,2026-08-09T10:47:16
75,mistral:7b,V1,abstract,DL,DL,0.49,,False,2026-08-09T10:47:16
76,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:47:17
77,mistral:7b,V1,abstract,ML,ML,0.37,,False,2026-08-09T10:47:17
78,mistral:7b,V1,abstract,ML,ML,0.42,,False,2026-08-09T10:47:18
79,mistral:7b,V1,abstract,ML,ML,0.49,,False,2026-08-09T10:47:18
80,mistral:7b,V1,abstract,DL,DL,0.41,,False,2026-08-09T10:47:18
81,mistral:7b,V1,abstract,ML,ML,0.48,,False,2026-08-09T10:47:19
82,mistral:7b,V1,abstract,ML,ML,0.32,,False,2026-08-09T10:47:19
83,mistral:7b,V1,abstract,ML,ML,0.47,,False,2026-08-09T10:47:20
84,mistral:7b,V1,abstract,ML,ML,0.72,,False,2026-08-09T10:47:20
85,mistral:7b,V1,abstract,AI,AI,0.52,,False,2026-08-09T10:47:21
86,mistral:7b,V1,abstract,ML,ML,0.39,,False,2026-08-09T10:47:21
87,mistral:7b,V1,abstract,DL,DL (Deep Learning),0.85,,False,2026-08-09T10:47:22
88,mistral:7b,V1,abstract,DL,DL,0.68,,False,2026-08-09T10:47:23
89,mistral:7b,V1,abstract,ML,ML,0.79,,False,2026-08-09T10:47:24
90,mistral:7b,V1,abstract,ML,ML,0.67,,False,2026-08-09T10:47:24
91,mistral:7b,V1,abstract,ML,ML,0.84,,False,2026-08-09T10:47:25
92,mistral:7b,V1,abstract,ML,ML,0.55,,False,2026-08-09T10:47:26
93,mistral:7b,V1,abstract,DL,DL,0.81,,False,2026-08-09T10:47:27
94,mistral:7b,V1,abstract,ML,ML,0.51,,False,2026-08-09T10:47:27
95,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:47:28
96,mistral:7b,V1,abstract,ML,ML,0.5,,False,2026-08-09T10:47:28
97,mistral:7b,V1,abstract,ML,ML,0.59,,False,2026-08-09T10:47:29
98,mistral:7b,V1,abstract,ML,ML,0.51,,False,2026-08-09T10:47:29
99,mistral:7b,V1,abstract,ML,ML,0.58,,False,2026-08-09T10:47:30
100,mistral:7b,V1,abstract,DL,DL,0.56,,False,2026-08-09T10:47:30
101,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:47:31
102,mistral:7b,V1,abstract,ML,ML,0.87,,False,2026-08-09T10:47:32
103,mistral:7b,V1,abstract,DL,DL,0.73,,False,2026-08-09T10:47:33
104,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:47:33
105,mistral:7b,V1,abstract,ML,ML,0.54,,False,2026-08-09T10:47:34
106,mistral:7b,V1,abstract,DL,DL,0.51,,False,2026-08-09T10:47:34
107,mistral:7b,V1,abstract,ML,ML,0.48,,False,2026-08-09T10:47:35
108,mistral:7b,V1,abstract,ML,ML,0.47,,False,2026-08-09T10:47:35
109,mistral:7b,V1,abstract,DL,DL,0.82,,False,2026-08-09T10:47:36
110,mistral:7b,V1,abstract,ML,ML,0.52,,True,2026-08-09T10:47:37
111,mistral:7b,V1,abstract,ML,ML,0.8,,False,2026-08-09T10:47:37
112,mistral:7b,V1,abstract,ML,ML,0.87,,False,2026-08-09T10:47:38
113,mistral:7b,V1,abstract,DL,DL,0.57,,False,2026-08-09T10:47:39
114,mistral:7b,V1,abstract,DL,DL,0.83,,False,2026-08-09T10:47:40
115,mistral:7b,V1,abstract,,,0.47,,False,2026-08-09T10:47:40
116,mistral:7b,V1,abstract,ML,ML,0.71,,False,2026-08-09T10:47:41
117,mistral:7b,V1,abstract,DL,DL,0.57,,False,2026-08-09T10:47:41
118,mistral:7b,V1,abstract,ML,ML,0.57,,False,2026-08-09T10:47:42
119,mistral:7b,V1,abstract,DL,DL,0.69,,False,2026-08-09T10:47:43
120,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:47:43
121,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:47:44
122,mistral:7b,V1,abstract,DL,DL,0.78,,True,2026-08-09T10:47:45
123,mistral:7b,V1,abstract,DL,DL,0.47,,False,2026-08-09T10:47:45
124,mistral:7b,V1,abstract,DL,DL,0.45,,False,2026-08-09T10:47:46
125,mistral:7b,V1,abstract,DL,DL,0.93,,False,2026-08-09T10:47:47
126,mistral:7b,V1,abstract,DL,DL,0.57,,False,2026-08-09T10:47:47
127,mistral:7b,V1,abstract,ML,ML,0.89,,False,2026-08-09T10:47:48
128,mistral:7b,V1,abstract,DL,DL,0.56,,False,2026-08-09T10:47:49
129,mistral:7b,V1,abstract,ML,ML,0.61,,False,2026-08-09T10:47:49
130,mistral:7b,V1,abstract,DL,DL,0.44,,False,2026-08-09T10:47:50
131,mistral:7b,V1,abstract,DL,DL (for using Artificial Neural Networks),0.76,,False,2026-08-09T10:47:50
132,mistral:7b,V1,abstract,ML,ML,0.71,,False,2026-08-09T10:47:51
133,mistral:7b,V1,abstract,ML,ML,0.78,,False,2026-08-09T10:47:52
134,mistral:7b,V1,abstract,ML,ML,0.61,,False,2026-08-09T10:47:53
135,mistral:7b,V1,abstract,ML,ML,0.61,,False,2026-08-09T10:47:53
136,mistral:7b,V1,abstract,ML,ML,0.65,,False,2026-08-09T10:47:54
137,mistral:7b,V1,abstract,ML,ML,0.55,,False,2026-08-09T10:47:54
138,mistral:7b,V1,abstract,ML,ML,0.75,,False,2026-08-09T10:47:55
139,mistral:7b,V1,missing,NO_INPUT,,0.0,no abstract available,False,2026-08-09T10:47:55
140,mistral:7b,V1,abstract,ML,ML,0.61,,False,2026-08-09T10:47:56
141,mistral:7b,V1,abstract,ML,ML,0.61,,False,2026-08-09T10:47:56
142,mistral:7b,V1,abstract,ML,ML,0.77,,False,2026-08-09T10:47:57
143,mistral:7b,V1,abstract,DL,DL,0.51,,False,2026-08-09T10:47:58
144,mistral:7b,V1,abstract,ML,ML,0.6,,False,2026-08-09T10:47:58
145,mistral:7b,V1,abstract,ML,ML,0.55,,False,2026-08-09T10:47:59
146,mistral:7b,V1,abstract,ML,ML,0.7,,False,2026-08-09T10:47:59
147,mistral:7b,V1,abstract,DL,DL,0.54,,False,2026-08-09T10:48:00
148,mistral:7b,V1,abstract,ML,ML,0.34,,False,2026-08-09T10:48:00
149,mistral:7b,V1,abstract,ML,ML,0.7,,False,2026-08-09T10:48:01
150,mistral:7b,V1,abstract,ML,ML,0.52,,False,2026-08-09T10:48:02
151,mistral:7b,V1,abstract,ML,ML,0.75,,False,2026-08-09T10:48:02
152,mistral:7b,V1,abstract,ML,ML,0.67,,False,2026-08-09T10:48:03
153,mistral:7b,V1,abstract,ML,ML,0.42,,False,2026-08-09T10:48:03
154,mistral:7b,V1,abstract,ML,ML,0.41,,False,2026-08-09T10:48:04
155,mistral:7b,V1,abstract,ML,ML,0.55,,False,2026-08-09T10:48:04
156,mistral:7b,V1,missing,NO_INPUT,,0.0,no abstract available,False,2026-08-09T10:48:04
157,mistral:7b,V1,abstract,ML,ML,0.55,,False,2026-08-09T10:48:05
158,mistral:7b,V1,abstract,ML,ML,0.67,,False,2026-08-09T10:48:06
159,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:48:06
160,mistral:7b,V1,abstract,DL,DL,0.53,,False,2026-08-09T10:48:07
161,mistral:7b,V1,abstract,DL,DL,0.42,,False,2026-08-09T10:48:07
162,mistral:7b,V1,abstract,DL,DL,0.54,,False,2026-08-09T10:48:08
163,mistral:7b,V1,abstract,ML,ML,0.51,,False,2026-08-09T10:48:08
164,mistral:7b,V1,abstract,DL,DL,0.44,,False,2026-08-09T10:48:09
165,mistral:7b,V1,abstract,ML,ML,0.54,,False,2026-08-09T10:48:09
166,mistral:7b,V1,abstract,ML,ML,0.78,,False,2026-08-09T10:48:10
167,mistral:7b,V1,abstract,ML,ML,0.54,,False,2026-08-09T10:48:10
168,mistral:7b,V1,abstract,ML,ML,0.66,,False,2026-08-09T10:48:11
169,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:48:12
170,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:48:12
171,mistral:7b,V1,abstract,ML,ML,0.71,,False,2026-08-09T10:48:13
172,mistral:7b,V1,abstract,ML,ML,0.74,,False,2026-08-09T10:48:14
173,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:48:14
174,mistral:7b,V1,abstract,ML,ML,1.24,,False,2026-08-09T10:48:16
175,mistral:7b,V1,abstract,DL,DL,0.44,,False,2026-08-09T10:48:16
176,mistral:7b,V1,abstract,ML,ML,0.48,,False,2026-08-09T10:48:16
177,mistral:7b,V1,abstract,ML,ML,0.75,,False,2026-08-09T10:48:17
178,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:48:18
179,mistral:7b,V1,abstract,DL,DL,0.53,,False,2026-08-09T10:48:18
180,mistral:7b,V1,abstract,DL,DL,0.73,,False,2026-08-09T10:48:19
181,mistral:7b,V1,abstract,DL,DL,0.57,,False,2026-08-09T10:48:20
182,mistral:7b,V1,abstract,ML,ML,0.4,,False,2026-08-09T10:48:20
183,mistral:7b,V1,abstract,ML,ML,0.21,,False,2026-08-09T10:48:20
184,mistral:7b,V1,abstract,ML,ML,0.35,,False,2026-08-09T10:48:21
185,mistral:7b,V1,abstract,ML,ML,0.62,,False,2026-08-09T10:48:21
186,mistral:7b,V1,abstract,DL,DL,0.65,,False,2026-08-09T10:48:22
187,mistral:7b,V1,abstract,Unclear,Unclear,0.94,,False,2026-08-09T10:48:23
188,mistral:7b,V1,abstract,DL,DL,0.48,,False,2026-08-09T10:48:23
189,mistral:7b,V1,abstract,ML,ML,0.71,,False,2026-08-09T10:48:24
190,mistral:7b,V1,abstract,ML,ML,0.69,,False,2026-08-09T10:48:25
191,mistral:7b,V1,abstract,DL,DL,1.08,,False,2026-08-09T10:48:26
192,mistral:7b,V1,abstract,DL,DL,0.6,,False,2026-08-09T10:48:26
193,mistral:7b,V1,abstract,DL,DL,0.52,,False,2026-08-09T10:48:27
194,mistral:7b,V1,abstract,DL,DL,0.6,,False,2026-08-09T10:48:28
195,mistral:7b,V1,abstract,ML,ML,0.75,,False,2026-08-09T10:48:28
196,mistral:7b,V1,abstract,DL,DL,0.79,,False,2026-08-09T10:48:29
197,mistral:7b,V1,abstract,ML,ML,0.77,,False,2026-08-09T10:48:30
198,mistral:7b,V1,abstract,ML,ML,0.71,,False,2026-08-09T10:48:31
199,mistral:7b,V1,abstract,ML,ML,0.51,,False,2026-08-09T10:48:31
200,mistral:7b,V1,abstract,ML,ML,0.5,,False,2026-08-09T10:48:32
201,mistral:7b,V1,missing,NO_INPUT,,0.0,no abstract available,False,2026-08-09T10:48:32
202,mistral:7b,V1,abstract,ML,ML,0.47,,False,2026-08-09T10:48:32
203,mistral:7b,V1,abstract,ML,ML,0.57,,False,2026-08-09T10:48:33
204,mistral:7b,V1,abstract,ML,ML,0.83,,False,2026-08-09T10:48:34
205,mistral:7b,V1,abstract,ML,ML,0.41,,False,2026-08-09T10:48:34
206,mistral:7b,V1,abstract,DL,DL,0.44,,False,2026-08-09T10:48:34
207,mistral:7b,V1,abstract,ML,ML,0.61,,False,2026-08-09T10:48:35
208,mistral:7b,V1,abstract,ML,ML,0.52,,False,2026-08-09T10:48:36
209,mistral:7b,V1,abstract,ML,ML,0.67,,False,2026-08-09T10:48:36
210,mistral:7b,V1,abstract,ML,ML,0.65,,False,2026-08-09T10:48:37
211,mistral:7b,V1,abstract,ML,ML,0.44,,False,2026-08-09T10:48:37
212,mistral:7b,V1,abstract,ML,ML,0.65,,False,2026-08-09T10:48:38
213,mistral:7b,V1,abstract,ML,ML,0.34,,False,2026-08-09T10:48:38
214,mistral:7b,V1,abstract,ML,ML,0.87,,False,2026-08-09T10:48:39
215,mistral:7b,V1,abstract,DL,DL,0.49,,False,2026-08-09T10:48:40
216,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:48:40
217,mistral:7b,V1,abstract,ML,ML,0.74,,False,2026-08-09T10:48:41
218,mistral:7b,V1,abstract,DL,DL,0.68,,False,2026-08-09T10:48:42
219,mistral:7b,V1,abstract,DL,DL,0.62,,False,2026-08-09T10:48:42
220,mistral:7b,V1,abstract,ML,ML,0.64,,False,2026-08-09T10:48:43
221,mistral:7b,V1,abstract,DL,DL (Deep Learning),0.71,,False,2026-08-09T10:48:44
222,mistral:7b,V1,abstract,ML,ML,0.76,,False,2026-08-09T10:48:44
223,mistral:7b,V1,abstract,ML,ML,0.81,,False,2026-08-09T10:48:45
224,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:48:46
225,mistral:7b,V1,abstract,DL,DL,0.48,,False,2026-08-09T10:48:46
226,mistral:7b,V1,abstract,ML,ML,0.44,,False,2026-08-09T10:48:47
227,mistral:7b,V1,abstract,ML,ML,0.49,,False,2026-08-09T10:48:47
228,mistral:7b,V1,abstract,ML,ML,0.61,,False,2026-08-09T10:48:48
229,mistral:7b,V1,abstract,DL,DL,0.62,,False,2026-08-09T10:48:49
230,mistral:7b,V1,abstract,ML,ML,0.76,,False,2026-08-09T10:48:49
231,mistral:7b,V1,abstract,DL,DL,0.52,,False,2026-08-09T10:48:50
232,mistral:7b,V1,abstract,ML,ML,0.38,,False,2026-08-09T10:48:50
233,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:48:51
234,mistral:7b,V1,abstract,ML,ML,0.46,,False,2026-08-09T10:48:51
235,mistral:7b,V1,abstract,ML,ML,0.6,,False,2026-08-09T10:48:52
236,mistral:7b,V1,abstract,DL,DL,0.49,,False,2026-08-09T10:48:52
237,mistral:7b,V1,abstract,ML,ML,0.56,,False,2026-08-09T10:48:53
238,mistral:7b,V1,abstract,ML,ML,0.41,,False,2026-08-09T10:48:53
239,mistral:7b,V1,abstract,ML,ML,0.49,,False,2026-08-09T10:48:54
240,mistral:7b,V1,abstract,ML,ML,0.88,,False,2026-08-09T10:48:55
241,mistral:7b,V1,abstract,ML,ML,0.48,,False,2026-08-09T10:48:55
242,mistral:7b,V1,abstract,AI,AI,0.41,,False,2026-08-09T10:48:56
243,mistral:7b,V1,abstract,DL,DL,0.88,,False,2026-08-09T10:48:56
244,mistral:7b,V1,abstract,ML,ML,0.9,,False,2026-08-09T10:48:57
245,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:48:58
246,mistral:7b,V1,abstract,ML,ML,0.73,,False,2026-08-09T10:48:59
247,mistral:7b,V1,abstract,AI,AI,0.59,,False,2026-08-09T10:48:59
248,mistral:7b,V1,abstract,ML,ML,0.41,,False,2026-08-09T10:49:00
249,mistral:7b,V1,abstract,ML,ML,0.73,,False,2026-08-09T10:49:00
250,mistral:7b,V1,abstract,DL,DL,0.9,,False,2026-08-09T10:49:01
251,mistral:7b,V1,abstract,ML,ML,0.55,,False,2026-08-09T10:49:02
252,mistral:7b,V1,abstract,ML,ML,0.57,,False,2026-08-09T10:49:02
253,mistral:7b,V1,abstract,ML,ML,0.5,,False,2026-08-09T10:49:03
254,mistral:7b,V1,abstract,ML,ML,0.8,,False,2026-08-09T10:49:04
255,mistral:7b,V1,abstract,ML,ML,0.75,,False,2026-08-09T10:49:04
256,mistral:7b,V1,abstract,DL,DL,0.5,,False,2026-08-09T10:49:05
257,mistral:7b,V1,abstract,ML,ML,0.6,,False,2026-08-09T10:49:05
258,mistral:7b,V1,abstract,ML,ML,0.55,,False,2026-08-09T10:49:06
259,mistral:7b,V1,abstract,ML,ML,0.44,,False,2026-08-09T10:49:06
260,mistral:7b,V1,abstract,ML,ML,0.52,,False,2026-08-09T10:49:07
261,mistral:7b,V1,abstract,ML,ML,0.8,,False,2026-08-09T10:49:08
262,mistral:7b,V1,abstract,DL,DL,0.66,,False,2026-08-09T10:49:08
263,mistral:7b,V1,abstract,ML,ML,0.23,,False,2026-08-09T10:49:09
264,mistral:7b,V1,abstract,ML,ML,0.6,,False,2026-08-09T10:49:09
265,mistral:7b,V1,abstract,ML,ML,0.42,,False,2026-08-09T10:49:10
266,mistral:7b,V1,abstract,ML,ML,0.65,,False,2026-08-09T10:49:10
267,mistral:7b,V1,abstract,DL,DL,0.62,,False,2026-08-09T10:49:11
268,mistral:7b,V1,abstract,ML,ML,0.69,,False,2026-08-09T10:49:12
269,mistral:7b,V1,abstract,ML,ML,0.64,,False,2026-08-09T10:49:12
270,mistral:7b,V1,abstract,ML,ML,0.88,,False,2026-08-09T10:49:13
271,mistral:7b,V1,abstract,ML,ML,0.6,,False,2026-08-09T10:49:14
272,mistral:7b,V1,abstract,ML,ML,0.57,,False,2026-08-09T10:49:14
273,mistral:7b,V1,abstract,DL,DL,0.63,,False,2026-08-09T10:49:15
274,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:49:16
275,mistral:7b,V1,abstract,DL,DL,0.84,,False,2026-08-09T10:49:16
276,mistral:7b,V1,abstract,ML,ML,0.58,,False,2026-08-09T10:49:17
277,mistral:7b,V1,abstract,ML,ML,0.47,,False,2026-08-09T10:49:18
278,mistral:7b,V1,abstract,ML,ML,0.61,,False,2026-08-09T10:49:18
279,mistral:7b,V1,abstract,ML,ML,0.68,,False,2026-08-09T10:49:19
280,mistral:7b,V1,abstract,DL,DL,0.38,,False,2026-08-09T10:49:19
281,mistral:7b,V1,abstract,DL,DL,0.67,,False,2026-08-09T10:49:20
282,mistral:7b,V1,abstract,ML,ML,0.56,,False,2026-08-09T10:49:20
283,mistral:7b,V1,abstract,ML,ML,0.41,,False,2026-08-09T10:49:21
284,mistral:7b,V1,abstract,DL,DL,0.49,,False,2026-08-09T10:49:21
285,mistral:7b,V1,abstract,ML,ML,0.41,,False,2026-08-09T10:49:22
286,mistral:7b,V1,abstract,ML,ML,0.72,,False,2026-08-09T10:49:22
287,mistral:7b,V1,abstract,DL,DL,0.72,,False,2026-08-09T10:49:23
288,mistral:7b,V1,abstract,ML,ML,0.38,,False,2026-08-09T10:49:24
289,mistral:7b,V1,abstract,ML,ML,0.27,,False,2026-08-09T10:49:24
290,mistral:7b,V1,abstract,ML,ML,0.44,,False,2026-08-09T10:49:24
291,mistral:7b,V1,abstract,ML,ML,0.45,,False,2026-08-09T10:49:25
292,mistral:7b,V1,abstract,ML,ML,0.39,,False,2026-08-09T10:49:25
293,mistral:7b,V1,abstract,DL,DL,0.34,,False,2026-08-09T10:49:25
294,mistral:7b,V1,abstract,ML,ML,0.43,,False,2026-08-09T10:49:26
295,mistral:7b,V1,abstract,AI,AI,0.67,,False,2026-08-09T10:49:27
296,mistral:7b,V1,abstract,ML,ML,0.42,,False,2026-08-09T10:49:27
297,mistral:7b,V1,abstract,ML,ML,0.37,,False,2026-08-09T10:49:27
298,mistral:7b,V1,abstract,ML,ML,0.32,,False,2026-08-09T10:49:28
299,mistral:7b,V1,abstract,ML,ML,0.31,,False,2026-08-09T10:49:28
0,mistral:7b,V2.1,abstract,DL,"REASONING: The paper focuses on studying scaling laws for language model performance using power-law relationships with model size, dataset size, and compute used for training. It also discusses the effects of architectural details like network width and depth, and determines the optimal allocation of a fixed compute budget. The primary contribution lies in determining these scaling laws and optimal allocation of resources, which can be attributed to deep learning techniques.

CATEGORY: DL",4.19,,False,2026-08-09T10:49:32
1,mistral:7b,V2.1,abstract,DL,"REASONING: The paper primarily focuses on comparing classical and quantum neural networks in terms of their response to data corruption, revealing differences between them. It also introduces a framework for quantum machine unlearning, which allows trained models to forget bad influences more efficiently than classical models.

CATEGORY: DL (Deep Learning)",2.94,,False,2026-08-09T10:49:35
2,mistral:7b,V2.1,abstract,DL,"REASONING: The paper describes the training of a deep convolutional neural network (CNN) for image classification, using techniques such as non-saturating neurons, efficient GPU implementation, dropout regularization, and entering the model in competitions like ImageNet LSVRC-2010 and ILSVRC-2012. The primary contribution of the paper is the development and training of this specific CNN architecture.

CATEGORY: DL",4.2,,False,2026-08-09T10:49:39
3,mistral:7b,V2.1,abstract,DL,"REASONING: The paper evaluates the performance of four AI chatbots in addressing questions related to adrenal incidentalomas. The primary contribution lies in comparing these chatbots based on accuracy, quality, hallucination tendency, and readability.

CATEGORY: DL (Deep Learning)

The chatbots used in the study are neural network-based models, which fall under the category of deep learning. Although the paper also involves machine learning (ML) concepts like Likert scale assessment and standard readability metrics, the primary contribution is based on comparing these specific neural network architectures, making it a deep learning study.",5.81,,False,2026-08-09T10:49:45
4,mistral:7b,V2.1,abstract,DL,"REASONING: The paper describes the use of a deep learning-based computer vision system for automatically recognizing key anatomical structures during laparoscopic donor nephrectomy surgery. The YOLO v11x DL network is adapted to train the model, and it uses a sophisticated loss function for optimization.

CATEGORY: DL",3.81,,False,2026-08-09T10:49:49
5,mistral:7b,V2.1,abstract,ML,"REASONING: The paper primarily focuses on using machine learning models for predicting fetal distress based on cardiotocography signals from a publicly available dataset. It compares multiple classification models and examines the impact of data partitioning strategies, input feature selection, and clinical parameters on the model's performance.

CATEGORY: ML",3.54,,False,2026-08-09T10:49:53
