paper_id,model_version,prompt_version,input_source,manual_label,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp
50,llama3.1:8b,V1,abstract,ML,ML,ML,0.69,,False,2026-08-15T09:00:58
51,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.86,,False,2026-08-15T09:00:59
52,llama3.1:8b,V1,abstract,DL,ML,ML,0.96,,False,2026-08-15T09:01:00
53,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.94,,False,2026-08-15T09:01:01
54,llama3.1:8b,V1,abstract,DL,DL,DL,1.24,,False,2026-08-15T09:01:02
55,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.25,,False,2026-08-15T09:01:04
56,llama3.1:8b,V1,abstract,ML,ML,ML,1.22,,False,2026-08-15T09:01:05
57,llama3.1:8b,V1,abstract,ML,ML,ML,0.91,,False,2026-08-15T09:01:06
58,llama3.1:8b,V1,abstract,AI,AI,AI,0.82,,False,2026-08-15T09:01:06
59,llama3.1:8b,V1,abstract,ML,ML,ML,0.86,,False,2026-08-15T09:01:07
60,llama3.1:8b,V1,abstract,DL,DL,DL,1.04,,False,2026-08-15T09:01:08
61,llama3.1:8b,V1,abstract,AI,AI,AI,1.08,,False,2026-08-15T09:01:09
62,llama3.1:8b,V1,abstract,ML,ML,ML,1.08,,False,2026-08-15T09:01:11
63,llama3.1:8b,V1,abstract,ML,ML,ML,0.84,,False,2026-08-15T09:01:11
64,llama3.1:8b,V1,abstract,Unclear,None,None,0.86,,False,2026-08-15T09:01:12
65,llama3.1:8b,V1,abstract,None,None,None,0.79,,False,2026-08-15T09:01:13
66,llama3.1:8b,V1,abstract,DL,ML,ML,0.95,,False,2026-08-15T09:01:14
67,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.83,,False,2026-08-15T09:01:15
68,llama3.1:8b,V1,abstract,ML,ML,ML,1.13,,False,2026-08-15T09:01:16
69,llama3.1:8b,V1,abstract,DL,DL,DL,1.3,,False,2026-08-15T09:01:17
70,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.28,,False,2026-08-15T09:01:19
71,llama3.1:8b,V1,abstract,AI,AI,AI,1.22,,False,2026-08-15T09:01:20
72,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.87,,False,2026-08-15T09:01:21
73,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.99,,False,2026-08-15T09:01:22
74,llama3.1:8b,V1,abstract,DL,DL,DL,0.87,,False,2026-08-15T09:01:22
75,llama3.1:8b,V1,abstract,ML,ML,ML,0.86,,False,2026-08-15T09:01:23
76,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.93,,False,2026-08-15T09:01:24
77,llama3.1:8b,V1,abstract,ML,AI,AI,0.76,,False,2026-08-15T09:01:25
78,llama3.1:8b,V1,abstract,ML,ML,ML,0.82,,False,2026-08-15T09:01:26
79,llama3.1:8b,V1,abstract,ML,AI,AI,0.84,,False,2026-08-15T09:01:27
80,llama3.1:8b,V1,abstract,DL,DL,DL,0.74,,False,2026-08-15T09:01:27
81,llama3.1:8b,V1,abstract,ML,ML,ML,0.81,,False,2026-08-15T09:01:28
82,llama3.1:8b,V1,abstract,ML,ML,ML,0.65,,False,2026-08-15T09:01:29
83,llama3.1:8b,V1,abstract,AI,AI,AI,0.73,,False,2026-08-15T09:01:30
84,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.35,,False,2026-08-15T09:01:31
85,llama3.1:8b,V1,abstract,DL,ML,ML,1.19,,False,2026-08-15T09:01:32
86,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.04,,False,2026-08-15T09:01:33
87,llama3.1:8b,V1,abstract,ML,ML,ML,1.3,,False,2026-08-15T09:01:35
88,llama3.1:8b,V1,abstract,DL,DL,DL,0.91,,False,2026-08-15T09:01:35
89,llama3.1:8b,V1,abstract,ML,ML,ML,0.96,,False,2026-08-15T09:01:36
90,llama3.1:8b,V1,abstract,AI,AI,AI,0.87,,False,2026-08-15T09:01:37
91,llama3.1:8b,V1,abstract,ML,DL,DL,1.01,,False,2026-08-15T09:01:38
92,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.83,,False,2026-08-15T09:01:39
93,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.11,,False,2026-08-15T09:01:40
94,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.86,,False,2026-08-15T09:01:41
95,llama3.1:8b,V1,abstract,AI,AI,AI,0.82,,False,2026-08-15T09:01:42
96,llama3.1:8b,V1,abstract,ML,ML,ML,0.88,,False,2026-08-15T09:01:43
97,llama3.1:8b,V1,abstract,AI,AI,AI,0.97,,False,2026-08-15T09:01:44
98,llama3.1:8b,V1,abstract,AI,AI,AI,1.12,,False,2026-08-15T09:01:45
99,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.27,,False,2026-08-15T09:01:46
100,llama3.1:8b,V1,abstract,AI,AI,AI,1.24,,False,2026-08-15T09:01:47
101,llama3.1:8b,V1,abstract,AI,None,None,1.41,,False,2026-08-15T09:01:49
102,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.11,,False,2026-08-15T09:01:50
103,llama3.1:8b,V1,abstract,AI,AI,AI,0.99,,False,2026-08-15T09:01:51
104,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.92,,False,2026-08-15T09:01:52
105,llama3.1:8b,V1,abstract,ML,None,None,0.86,,False,2026-08-15T09:01:53
106,llama3.1:8b,V1,abstract,DL,DL,DL,0.87,,False,2026-08-15T09:01:54
107,llama3.1:8b,V1,abstract,ML,AI,AI,0.84,,False,2026-08-15T09:01:54
108,llama3.1:8b,V1,abstract,AI,AI,AI,0.82,,False,2026-08-15T09:01:55
109,llama3.1:8b,V1,abstract,ML,DL,DL,1.01,,False,2026-08-15T09:01:56
110,llama3.1:8b,V1,abstract,None,AI,AI,0.82,,True,2026-08-15T09:01:57
111,llama3.1:8b,V1,abstract,AI,AI,AI,1.01,,False,2026-08-15T09:01:58
112,llama3.1:8b,V1,abstract,ML,DL,DL,13.19,,False,2026-08-15T09:02:11
113,llama3.1:8b,V1,abstract,DL,DL,DL,0.91,,False,2026-08-15T09:02:12
114,llama3.1:8b,V1,abstract,ML,ML,ML,1.12,,False,2026-08-15T09:02:13
115,llama3.1:8b,V1,abstract,None,None,None,1.17,,False,2026-08-15T09:02:14
116,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.26,,False,2026-08-15T09:02:16
117,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.25,,False,2026-08-15T09:02:17
118,llama3.1:8b,V1,abstract,ML,ML,ML,0.82,,False,2026-08-15T09:02:18
119,llama3.1:8b,V1,abstract,ML,DL,DL,0.95,,False,2026-08-15T09:02:19
120,llama3.1:8b,V1,abstract,ML,ML,ML,0.94,,False,2026-08-15T09:02:20
121,llama3.1:8b,V1,abstract,ML,ML,ML,0.86,,False,2026-08-15T09:02:21
122,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.06,,True,2026-08-15T09:02:22
123,llama3.1:8b,V1,abstract,AI,AI,AI,0.84,,False,2026-08-15T09:02:22
124,llama3.1:8b,V1,abstract,None,DL,DL,0.8,,False,2026-08-15T09:02:23
125,llama3.1:8b,V1,abstract,ML,DL,DL,1.17,,False,2026-08-15T09:02:24
126,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.85,,False,2026-08-15T09:02:25
127,llama3.1:8b,V1,abstract,ML,ML,ML,1.13,,False,2026-08-15T09:02:26
128,llama3.1:8b,V1,abstract,AI,AI,AI,0.85,,False,2026-08-15T09:02:27
129,llama3.1:8b,V1,abstract,ML,ML,ML,1.26,,False,2026-08-15T09:02:29
130,llama3.1:8b,V1,abstract,AI,None,None,1.23,,False,2026-08-15T09:02:30
131,llama3.1:8b,V1,abstract,ML,AI,AI,1.16,,False,2026-08-15T09:02:31
132,llama3.1:8b,V1,abstract,ML,ML,ML,1.07,,False,2026-08-15T09:02:32
133,llama3.1:8b,V1,abstract,AI,AI,AI,0.97,,False,2026-08-15T09:02:33
134,llama3.1:8b,V1,abstract,AI,AI,AI,0.82,,False,2026-08-15T09:02:34
135,llama3.1:8b,V1,abstract,ML,ML,ML,0.85,,False,2026-08-15T09:02:35
136,llama3.1:8b,V1,abstract,Unclear,None,None,0.84,,False,2026-08-15T09:02:35
137,llama3.1:8b,V1,abstract,ML,ML,ML,0.78,,False,2026-08-15T09:02:36
138,llama3.1:8b,V1,abstract,ML,ML,ML,0.89,,False,2026-08-15T09:02:37
139,llama3.1:8b,V1,missing,None,NO_INPUT,,0.0,no abstract available,False,2026-08-15T09:02:37
140,llama3.1:8b,V1,abstract,AI,AI,AI,0.87,,False,2026-08-15T09:02:38
141,llama3.1:8b,V1,abstract,ML,AI,AI,0.83,,False,2026-08-15T09:02:39
142,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.97,,False,2026-08-15T09:02:40
143,llama3.1:8b,V1,abstract,ML,DL,DL,0.79,,False,2026-08-15T09:02:41
144,llama3.1:8b,V1,abstract,ML,ML,ML,0.96,,False,2026-08-15T09:02:42
145,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.24,,False,2026-08-15T09:02:43
146,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.44,,False,2026-08-15T09:02:44
147,llama3.1:8b,V1,abstract,Unclear,DL,DL,1.28,,False,2026-08-15T09:02:46
148,llama3.1:8b,V1,abstract,ML,ML,ML,0.81,,False,2026-08-15T09:02:46
149,llama3.1:8b,V1,abstract,AI,AI,AI,0.98,,False,2026-08-15T09:02:47
150,llama3.1:8b,V1,abstract,ML,ML,ML,0.82,,False,2026-08-15T09:02:48
151,llama3.1:8b,V1,abstract,ML,ML,ML,0.98,,False,2026-08-15T09:02:49
152,llama3.1:8b,V1,abstract,ML,ML,ML,0.87,,False,2026-08-15T09:02:50
153,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.77,,False,2026-08-15T09:02:51
154,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.78,,False,2026-08-15T09:02:52
155,llama3.1:8b,V1,abstract,AI,AI,AI,0.88,,False,2026-08-15T09:02:52
156,llama3.1:8b,V1,missing,None,NO_INPUT,,0.0,no abstract available,False,2026-08-15T09:02:52
157,llama3.1:8b,V1,abstract,AI,AI,AI,0.84,,False,2026-08-15T09:02:53
158,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.97,,False,2026-08-15T09:02:54
159,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.82,,False,2026-08-15T09:02:55
160,llama3.1:8b,V1,abstract,ML,DL,DL,0.92,,False,2026-08-15T09:02:56
161,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.14,,False,2026-08-15T09:02:57
162,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.27,,False,2026-08-15T09:02:58
163,llama3.1:8b,V1,abstract,ML,ML,ML,1.22,,False,2026-08-15T09:03:00
164,llama3.1:8b,V1,abstract,DL,DL,DL,0.87,,False,2026-08-15T09:03:01
165,llama3.1:8b,V1,abstract,ML,ML,ML,0.8,,False,2026-08-15T09:03:01
166,llama3.1:8b,V1,abstract,ML,ML,ML,1.06,,False,2026-08-15T09:03:02
167,llama3.1:8b,V1,abstract,AI,AI,AI,0.84,,False,2026-08-15T09:03:03
168,llama3.1:8b,V1,abstract,ML,ML,ML,0.89,,False,2026-08-15T09:03:04
169,llama3.1:8b,V1,abstract,AI,None,None,0.76,,False,2026-08-15T09:03:05
170,llama3.1:8b,V1,abstract,Unclear,DL,DL,0.86,,False,2026-08-15T09:03:06
171,llama3.1:8b,V1,abstract,None,AI,AI,0.93,,False,2026-08-15T09:03:07
172,llama3.1:8b,V1,abstract,ML,ML,ML,0.9,,False,2026-08-15T09:03:08
173,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.93,,False,2026-08-15T09:03:09
174,llama3.1:8b,V1,abstract,ML,ML,ML,1.47,,False,2026-08-15T09:03:10
175,llama3.1:8b,V1,abstract,ML,ML,ML,1.14,,False,2026-08-15T09:03:11
176,llama3.1:8b,V1,abstract,ML,AI,AI,1.21,,False,2026-08-15T09:03:12
177,llama3.1:8b,V1,abstract,ML,ML,ML,1.45,,False,2026-08-15T09:03:14
178,llama3.1:8b,V1,abstract,ML,ML,ML,1.24,,False,2026-08-15T09:03:15
179,llama3.1:8b,V1,abstract,None,ML,ML,0.87,,False,2026-08-15T09:03:16
180,llama3.1:8b,V1,abstract,None,ML,ML,1.02,,False,2026-08-15T09:03:17
181,llama3.1:8b,V1,abstract,DL,DL,DL,0.92,,False,2026-08-15T09:03:18
182,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.71,,False,2026-08-15T09:03:19
183,llama3.1:8b,V1,abstract,ML,ML,ML,0.57,,False,2026-08-15T09:03:19
184,llama3.1:8b,V1,abstract,DL,DL,DL,0.72,,False,2026-08-15T09:03:20
185,llama3.1:8b,V1,abstract,Unclear,None,None,0.95,,False,2026-08-15T09:03:21
186,llama3.1:8b,V1,abstract,DL,AI,AI,0.93,,False,2026-08-15T09:03:22
187,llama3.1:8b,V1,abstract,None,ML,ML,1.15,,False,2026-08-15T09:03:23
188,llama3.1:8b,V1,abstract,ML,AI,AI,0.83,,False,2026-08-15T09:03:24
189,llama3.1:8b,V1,abstract,AI,ML,ML,0.96,,False,2026-08-15T09:03:25
190,llama3.1:8b,V1,abstract,ML,ML,ML,1.37,,False,2026-08-15T09:03:26
191,llama3.1:8b,V1,abstract,Unclear,DL,DL,1.59,,False,2026-08-15T09:03:28
192,llama3.1:8b,V1,abstract,DL,AI,AI,1.22,,False,2026-08-15T09:03:29
193,llama3.1:8b,V1,abstract,AI,AI,AI,0.78,,False,2026-08-15T09:03:30
194,llama3.1:8b,V1,abstract,ML,DL,DL,0.89,,False,2026-08-15T09:03:31
195,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.0,,False,2026-08-15T09:03:32
196,llama3.1:8b,V1,abstract,ML,ML,ML,0.98,,False,2026-08-15T09:03:33
197,llama3.1:8b,V1,abstract,None,AI,AI,0.98,,False,2026-08-15T09:03:34
198,llama3.1:8b,V1,abstract,None,None,None,1.01,,False,2026-08-15T09:03:35
199,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.79,,False,2026-08-15T09:03:35
200,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.89,,False,2026-08-15T09:03:36
201,llama3.1:8b,V1,missing,None,NO_INPUT,,0.0,no abstract available,False,2026-08-15T09:03:36
202,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.83,,False,2026-08-15T09:03:37
203,llama3.1:8b,V1,abstract,ML,ML,ML,0.92,,False,2026-08-15T09:03:38
204,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.13,,False,2026-08-15T09:03:39
205,llama3.1:8b,V1,abstract,ML,ML,ML,1.22,,False,2026-08-15T09:03:40
206,llama3.1:8b,V1,abstract,Unclear,DL,DL,1.27,,False,2026-08-15T09:03:42
207,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.42,,False,2026-08-15T09:03:43
208,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.01,,False,2026-08-15T09:03:44
209,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.98,,False,2026-08-15T09:03:45
210,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.03,,False,2026-08-15T09:03:46
211,llama3.1:8b,V1,abstract,DL,DL,DL,0.8,,False,2026-08-15T09:03:47
212,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.97,,False,2026-08-15T09:03:48
213,llama3.1:8b,V1,abstract,ML,ML,ML,0.64,,False,2026-08-15T09:03:49
214,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.13,,False,2026-08-15T09:03:50
215,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.81,,False,2026-08-15T09:03:50
216,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.84,,False,2026-08-15T09:03:51
217,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.01,,False,2026-08-15T09:03:52
218,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.86,,False,2026-08-15T09:03:53
219,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.14,,False,2026-08-15T09:03:54
220,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.35,,False,2026-08-15T09:03:56
221,llama3.1:8b,V1,abstract,AI,AI,AI,1.23,,False,2026-08-15T09:03:57
222,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.51,,False,2026-08-15T09:03:58
223,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.05,,False,2026-08-15T09:03:59
224,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.87,,False,2026-08-15T09:04:00
225,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.77,,False,2026-08-15T09:04:01
226,llama3.1:8b,V1,abstract,ML,ML,ML,0.82,,False,2026-08-15T09:04:02
227,llama3.1:8b,V1,abstract,AI,AI,AI,0.85,,False,2026-08-15T09:04:03
228,llama3.1:8b,V1,abstract,AI,AI,AI,0.91,,False,2026-08-15T09:04:04
229,llama3.1:8b,V1,abstract,AI,ML,ML,0.99,,False,2026-08-15T09:04:05
230,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.06,,False,2026-08-15T09:04:06
231,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.85,,False,2026-08-15T09:04:07
232,llama3.1:8b,V1,abstract,None,ML,ML,0.74,,False,2026-08-15T09:04:07
233,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.9,,False,2026-08-15T09:04:08
234,llama3.1:8b,V1,abstract,ML,ML,ML,1.21,,False,2026-08-15T09:04:09
235,llama3.1:8b,V1,abstract,ML,ML,ML,1.31,,False,2026-08-15T09:04:11
236,llama3.1:8b,V1,abstract,DL,DL,DL,1.26,,False,2026-08-15T09:04:12
237,llama3.1:8b,V1,abstract,AI,ML,ML,1.04,,False,2026-08-15T09:04:13
238,llama3.1:8b,V1,abstract,AI,AI,AI,0.77,,False,2026-08-15T09:04:14
239,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.83,,False,2026-08-15T09:04:15
240,llama3.1:8b,V1,abstract,Unclear,DL,DL,1.16,,False,2026-08-15T09:04:16
241,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.83,,False,2026-08-15T09:04:17
242,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.76,,False,2026-08-15T09:04:17
243,llama3.1:8b,V1,abstract,ML,ML,ML,1.19,,False,2026-08-15T09:04:19
244,llama3.1:8b,V1,abstract,AI,None,None,1.13,,False,2026-08-15T09:04:20
245,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.8,,False,2026-08-15T09:04:21
246,llama3.1:8b,V1,abstract,ML,ML,ML,0.98,,False,2026-08-15T09:04:22
247,llama3.1:8b,V1,abstract,AI,AI,AI,0.88,,False,2026-08-15T09:04:22
248,llama3.1:8b,V1,abstract,ML,ML,ML,1.17,,False,2026-08-15T09:04:24
249,llama3.1:8b,V1,abstract,AI,AI,AI,1.41,,False,2026-08-15T09:04:25
250,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.57,,False,2026-08-15T09:04:27
251,llama3.1:8b,V1,abstract,AI,AI,AI,0.95,,False,2026-08-15T09:04:28
252,llama3.1:8b,V1,abstract,ML,ML,ML,0.87,,False,2026-08-15T09:04:28
253,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.81,,False,2026-08-15T09:04:29
254,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.12,,False,2026-08-15T09:04:30
255,llama3.1:8b,V1,abstract,ML,ML,ML,1.07,,False,2026-08-15T09:04:31
256,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.87,,False,2026-08-15T09:04:32
257,llama3.1:8b,V1,abstract,ML,ML,ML,0.93,,False,2026-08-15T09:04:33
258,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.92,,False,2026-08-15T09:04:34
259,llama3.1:8b,V1,abstract,Unclear,None,None,0.81,,False,2026-08-15T09:04:35
260,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.84,,False,2026-08-15T09:04:36
261,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.16,,False,2026-08-15T09:04:37
262,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.4,,False,2026-08-15T09:04:38
263,llama3.1:8b,V1,abstract,ML,ML,ML,1.05,,False,2026-08-15T09:04:39
264,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.33,,False,2026-08-15T09:04:41
265,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.99,,False,2026-08-15T09:04:42
266,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.92,,False,2026-08-15T09:04:43
267,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.91,,False,2026-08-15T09:04:44
268,llama3.1:8b,V1,abstract,ML,ML,ML,1.03,,False,2026-08-15T09:04:45
269,llama3.1:8b,V1,abstract,AI,AI,AI,0.95,,False,2026-08-15T09:04:46
270,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.11,,False,2026-08-15T09:04:47
271,llama3.1:8b,V1,abstract,AI,DL,DL,0.87,,False,2026-08-15T09:04:48
272,llama3.1:8b,V1,abstract,ML,ML,ML,0.82,,False,2026-08-15T09:04:48
273,llama3.1:8b,V1,abstract,AI,AI,AI,0.86,,False,2026-08-15T09:04:49
274,llama3.1:8b,V1,abstract,ML,ML,ML,0.9,,False,2026-08-15T09:04:50
275,llama3.1:8b,V1,abstract,ML,ML,ML,1.08,,False,2026-08-15T09:04:51
276,llama3.1:8b,V1,abstract,AI,None,None,1.27,,False,2026-08-15T09:04:53
277,llama3.1:8b,V1,abstract,ML,ML,ML,1.2,,False,2026-08-15T09:04:54
278,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.38,,False,2026-08-15T09:04:55
279,llama3.1:8b,V1,abstract,AI,AI,AI,1.13,,False,2026-08-15T09:04:56
280,llama3.1:8b,V1,abstract,DL,DL,DL,0.8,,False,2026-08-15T09:04:57
281,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.99,,False,2026-08-15T09:04:58
282,llama3.1:8b,V1,abstract,AI,None,None,0.91,,False,2026-08-15T09:04:59
283,llama3.1:8b,V1,abstract,AI,AI,AI,0.77,,False,2026-08-15T09:05:00
284,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.83,,False,2026-08-15T09:05:01
285,llama3.1:8b,V1,abstract,AI,AI,AI,0.83,,False,2026-08-15T09:05:01
286,llama3.1:8b,V1,abstract,ML,ML,ML,1.01,,False,2026-08-15T09:05:02
287,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.09,,False,2026-08-15T09:05:03
288,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.74,,False,2026-08-15T09:05:04
289,llama3.1:8b,V1,abstract,ML,ML,ML,0.66,,False,2026-08-15T09:05:05
290,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.81,,False,2026-08-15T09:05:06
